absolute_magnitude_h,is_sentry_object,relative_velocity_km_per_second,miss_distance_astronomical,orbiting_body,n_approaches,min_miss_distance_au,max_velocity_km_s,semi_major_axis,inclination,perihelion_distance,perihelion_argument,orbit_uncertainty,minimum_orbit_intersection,data_arc_in_days,orbit_class_type,diameter_mean_km,diameter_uncertainty,perihelion_to_aphelion_ratio,threat_ratio,velocity_distance_ratio,observation_reliability,is_potentially_hazardous
18.58,0,17.5144519832,0.160623519,EARTH,5,0.0788266849,19.7396879848,2.865488711434413,14.69517603698029,0.7675922412584438,304.5156445948718,0.0,0.0373464,5421.0,APO,0.8270706641500001,0.6318257653,0.1546509515526652,0.0451550292119014,109.0403951565773,0.0,1
25.6,0,11.9226363587,0.05013377,EARTH,43,0.018771124,23.5917025709,1.150825930147899,14.18303839449186,0.8007236925914292,84.45653481772524,7.0,0.0176757,4.0,APO,0.03262440625,0.0249228287,0.5334856856048721,0.541793768277392,237.81647298218343,1.75,0
22.73,0,13.8846132052,0.0761742338,EARTH,90,0.0207018251,26.6439677857,1.231911249110504,2.800766752979644,0.7531424654620711,57.52534282540082,2.0,0.0223485,2333.0,APO,0.1223327157,0.0934538789999999,0.4402591080971608,0.1826862084448927,182.27440582671144,0.0008572653236176,0
24.6,0,13.3432179339,0.0192865253,EARTH,1,0.0192865253,13.3432179339,1.977774259947972,1.576227973659171,0.8233051366839674,128.3548944654395,8.0,0.00259761,6.0,APO,0.05170619945,0.0395000214999999,0.2628483920172591,0.0502378830320316,691.8414658082553,1.3333333333333333,0
19.7,0,13.2138250822,0.19121804645,UNKNOWN,0,0.061065185,18.2444330968,2.053834269647789,20.2517900324879,1.275765214661528,184.4410677986914,1.0,0.27431,10017.0,AMO,0.493790371,0.3772222768,0.4504974458569795,0.5555191354673054,68.06327340734398,9.98302885095338e-05,0
25.9,0,13.2138250822,0.19121804645,UNKNOWN,0,0.061065185,18.2444330968,1.801684808337555,6.833579856783784,0.4437907302610919,253.4511536406534,9.0,0.000620786,61.0,APO,0.02841467,0.0217068764,0.1404588225884667,0.0218473767247692,68.06327340734398,0.0895522388059701,0
23.18,0,4.1029673549,0.3573527302,EARTH,30,0.171004492,5.2443022254,1.576277311979033,7.45794537906649,1.130235692770768,55.12951858035823,0.0,0.17097,803.0,AMO,0.0994357644499999,0.0759621647,0.5588810327296936,1.719401474365595,11.481561516554487,0.0,0
21.96,0,27.7436139793,0.2574768767,EARTH,103,0.0065799795,35.0410660611,1.22430366715641,3.01197339608906,0.4719771898551383,241.4005749757098,1.0,0.00446359,3740.0,APO,0.17439844845,0.1332285595,0.2387787068706434,0.0255942070567199,107.7518662447718,0.0002673796791443,1
18.95,0,22.4694842713,0.1931098466,EARTH,22,0.1931098466,27.2332411356,1.658546849301147,42.55948645641037,1.132962530497897,321.2785834313528,1.0,0.188541,2731.0,AMO,0.6974974382,0.5328406286,0.5187245835062154,0.2703106702249103,116.35597390247216,0.0003661662394727,0
24.7,0,11.6711373444,0.0677807023,EARTH,1,0.0677807023,11.6711373444,2.427900234628433,14.68326338746562,1.030441031402083,20.92081103822564,9.0,0.0597599,1.0,AMO,0.0493790371,0.0377222276,0.2693710350993689,1.2102281354530502,172.1896786011909,9.0,0
21.7,0,0.353928838,0.2851901311,EARTH,23,0.2477232784,3.2311591306,1.821819244055771,0.4614769681909702,1.231946030103946,319.7442438944329,0.0,0.248016,3791.0,AMO,0.1965814874499999,0.1501748933,0.5108221929431708,1.261644741919466,1.241027649290912,0.0,0
17.28,0,10.8592421083,1.7480615541,JUPTR,21,0.0375893599,33.2526714132,2.35925537233622,26.01640849576854,0.4018949283305394,353.2906731114492,0.0,0.406295,4358.0,APO,1.5050211977,1.1497338874,0.0931041689670506,0.2699596528081512,6.21216231363829,0.0,0
22.9,0,11.8427633295,0.2591938052,EARTH,44,0.1726192268,22.7976134032,1.570764138806976,19.25593567017238,0.979756123742836,76.89475005605831,1.0,0.169842,741.0,APO,0.1131208388,0.0864166312,0.4532189583385894,1.5014209742581928,45.69076533430977,0.0013495276653171,0
20.75,0,10.5404504882,0.3371107138,EARTH,6,0.3229825006,13.7560005809,2.956498153947738,15.22124409001161,1.211796257865377,301.2076923265284,6.0,0.305594,41.0,AMO,0.30446867475,0.2325933704999999,0.2577631764165447,1.0036960296520618,31.26702907002061,0.1463414634146341,0
26.0,0,24.0104025827,0.3951005427,EARTH,2,0.0175021917,24.0104025827,1.73803639992125,3.514366874995766,0.8228594818311696,106.0493804553414,8.0,0.0160318,11.0,APO,0.0271357992,0.020729906,0.3101369483732013,0.5907988882818678,60.77036092792995,0.7272727272727273,0
20.07,0,14.2802890247,0.4621165054,EARTH,57,0.0222984851,31.2520165578,1.483248325169998,26.02047503405762,0.7067129814977405,101.5509749608218,0.0,0.0227221,3322.0,APO,0.4164305829,0.3181246574,0.3127347945920007,0.0545639559942128,30.901923774263874,0.0,1
27.2,0,6.4583986798,0.0384517636,EARTH,1,0.0384517636,6.4583986798,1.980687292332279,3.110388908385459,1.022226600529236,165.1807428109886,8.0,0.0328679,4.0,AMO,0.0156150226,0.0119288158,0.3477969146320369,2.1048896848858867,167.96105237160046,2.0,0
27.4,1,16.1760976978,0.2842492815,EARTH,2,0.0062666955,16.1760976978,1.580490858289193,2.087116820792359,0.944713425709406,36.67571847169341,8.0,0.00123546,6.0,APO,0.01424106985,0.0108792092999999,0.4262631151659856,0.0867533136915272,56.90813926578034,1.3333333333333333,0
20.29,0,26.7426198229,0.187106804,EARTH,4,0.187106804,27.6383659611,1.262910432423525,45.04602478723756,0.4929311541430106,228.7122045009126,1.0,0.193932,4753.0,APO,0.3763072771,0.2874731792,0.2424780604415063,0.51535543371505,142.92703018378745,0.0002103934357248,0
21.4,0,7.4388993857,0.3550775511,EARTH,2,0.3532874,7.4388993857,3.23113625304578,13.84444769962272,1.250473969155312,297.4908240193761,6.0,0.320999,32.0,AMO,0.2257057467,0.1724238476,0.2399313711558778,1.422201271758757,20.95006953454231,0.1875,0
23.98,0,9.9822500968,0.0562072904,EARTH,1,0.0562072904,9.9822500968,2.40644271539566,3.75752542648897,0.9278366933445308,90.10604906290304,7.0,0.0541266,26.0,APO,0.06879274145,0.0525529781,0.238822407657695,0.7868068470470877,177.59707016227205,0.2692307692307692,0
19.61,0,13.2138250822,0.19121804645,UNKNOWN,0,0.061065185,18.2444330968,2.005414445105092,29.78064109814262,1.188394696341507,2.763414094631766,0.0,0.193121,6262.0,AMO,0.51468631015,0.3931853539,0.421053110440314,0.3752207824290428,68.06327340734398,0.0,0
19.57,0,11.1198482953,0.1711046925,EARTH,5,0.0294571366,11.8328281196,2.090358773835967,12.73206844421183,1.030580672887986,8.785796387381614,0.0,0.0315858,8690.0,AMO,0.5242550430999999,0.4004952154,0.3271542519747393,0.0602489197113457,64.98856421076822,0.0,1
24.3,0,10.6843122896,0.0695294879,EARTH,1,0.0695294879,10.6843122896,1.560549900519391,6.847842667621894,0.8397456934926828,92.97752476799556,8.0,0.0504964,7.0,APO,0.05936666015,0.0453520927,0.368090902992671,0.850585157939022,153.66591373384756,1.1428571428571428,0
20.25,0,13.537618022,0.1897359251,EARTH,161,0.0517377183,33.4387415356,0.8372631988206448,6.530923889549304,0.321502481251247,169.9278402483795,0.0,0.0535054,7342.0,ATE,0.3833033517499999,0.2928177046999999,0.2376177370973876,0.1395902220935901,71.34978794798624,0.0,0
24.05,0,16.181291069,0.3975913022,EARTH,2,0.1176652785,16.181291069,1.484796239012239,21.19182584879992,1.085424676808387,182.7883251994309,8.0,0.0843514,14.0,AMO,0.0666104882,0.0508858849999999,0.5760764386844026,1.2663381140028938,40.69830245144633,0.5714285714285714,0
17.36,0,22.6562343281,0.2718168984,EARTH,26,0.1092383342,45.1433146605,2.469388719503689,10.52055823942332,0.2915133118010294,144.1869088551346,0.0,0.073051,5802.0,APO,1.4505831115,1.1081468902,0.0627279413912437,0.0503597480357126,83.35108840348683,0.0,0
23.7,0,15.7649169641,0.0399615715,EARTH,1,0.0399615715,15.7649169641,1.832019547818085,1.87357464659612,0.7662488444008256,251.1328709318742,9.0,0.00115126,4.0,APO,0.07826049975,0.0597857018999999,0.2644252267996862,0.0147106139582248,394.5019270350767,2.25,0
